2017-05-24 08:09:35 status unpacked tzdata:all 2016d-0+deb7u1
2017-05-24 08:09:35 status unpacked tzdata:all 2016d-0+deb7u1
2017-05-24 08:09:35 install libustr-1.0-1:armhf <none> 1.0.4-3
2017-05-24 08:09:35 status half-installed libustr-1.0-1:armhf 1.0.4-3
2017-05-24 08:09:35 status unpacked libustr-1.0-1:armhf 1.0.4-3
2017-05-24 08:09:35 status unpacked libustr-1.0-1:armhf 1.0.4-3
2017-05-24 08:09:35 install bsdutils:armhf <none> 1:2.20.1-5.3
2017-05-24 08:09:35 status half-installed bsdutils:armhf 1:2.20.1-5.3
2017-05-24 08:09:35 status unpacked bsdutils:armhf 1:2.20.1-5.3
2017-05-24 08:09:35 status unpacked bsdutils:armhf 1:2.20.1-5.3
2017-05-24 08:09:36 install libblkid1:armhf <none> 2.20.1-5.3
2017-05-24 08:09:36 status half-installed libblkid1:armhf 2.20.1-5.3
2017-05-24 08:09:36 status unpacked libblkid1:armhf 2.20.1-5.3
2017-05-24 08:09:36 status unpacked libblkid1:armhf 2.20.1-5.3
2017-05-24 08:09:36 install libmount1:armhf <none> 2.20.1-5.3
2017-05-24 08:09:36 status half-installed libmount1:armhf 2.20.1-5.3
2017-05-24 08:09:36 status unpacked libmount1:armhf 2.20.1-5.3
2017-05-24 08:09:36 status unpacked libmount1:armhf 2.20.1-5.3
2017-05-24 08:09:36 install libuuid1:armhf <none> 2.20.1-5.3
2017-05-24 08:09:36 status half-installed libuuid1:armhf 2.20.1-5.3
2017-05-24 08:09:36 status unpacked libuuid1:armhf 2.20.1-5.3
2017-05-24 08:09:36 status unpacked libuuid1:armhf 2.20.1-5.3
2017-05-24 08:09:36 install mount:armhf <none> 2.20.1-5.3
2017-05-24 08:09:36 status half-installed mount:armhf 2.20.1-5.3
2017-05-24 08:09:36 status unpacked mount:armhf 2.20.1-5.3
2017-05-24 08:09:36 status unpacked mount:armhf 2.20.1-5.3
2017-05-24 08:09:36 install util-linux:armhf <none> 2.20.1-5.3
2017-05-24 08:09:36 status half-installed util-linux:armhf 2.20.1-5.3
2017-05-24 08:09:37 status unpacked util-linux:armhf 2.20.1-5.3
2017-05-24 08:09:37 status unpacked util-linux:armhf 2.20.1-5.3
2017-05-24 08:09:37 install liblzma5:armhf <none> 5.1.1alpha+20120614-2
2017-05-24 08:09:37 status half-installed liblzma5:armhf 5.1.1alpha+20120614-2
2017-05-24 08:09:37 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2
2017-05-24 08:09:37 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2
2017-05-24 08:09:37 install xz-utils:armhf <none> 5.1.1alpha+20120614-2
2017-05-24 08:09:37 status half-installed xz-utils:armhf 5.1.1alpha+20120614-2
2017-05-24 08:09:37 status unpacked xz-utils:armhf 5.1.1alpha+20120614-2
2017-05-24 08:09:37 status unpacked xz-utils:armhf 5.1.1alpha+20120614-2
2017-05-24 08:09:38 install zlib1g:armhf <none> 1:1.2.7.dfsg-13
2017-05-24 08:09:38 status half-installed zlib1g:armhf 1:1.2.7.dfsg-13
2017-05-24 08:09:38 status unpacked zlib1g:armhf 1:1.2.7.dfsg-13
2017-05-24 08:09:38 status unpacked zlib1g:armhf 1:1.2.7.dfsg-13
2017-05-24 08:09:38 startup packages configure
2017-05-24 08:09:38 configure lsb-base:all 4.1+Debian8+deb7u1 <none>
2017-05-24 08:09:38 status unpacked lsb-base:all 4.1+Debian8+deb7u1
2017-05-24 08:09:38 status half-configured lsb-base:all 4.1+Debian8+deb7u1
2017-05-24 08:09:38 status installed lsb-base:all 4.1+Debian8+deb7u1
2017-05-24 08:09:38 configure ncurses-base:all 5.9-10 <none>
2017-05-24 08:09:38 status unpacked ncurses-base:all 5.9-10
2017-05-24 08:09:38 status unpacked ncurses-base:all 5.9-10
2017-05-24 08:09:38 status half-configured ncurses-base:all 5.9-10
